mass_A
t	x
5.279986667E1	-9.158663924E1
5.296000000E1	-9.586626085E1
5.313653333E1	-9.746283607E1
5.329600000E1	-9.812146434E1
5.347196667E1	-9.979683375E1
5.363196667E1	-9.887639497E1
5.380793333E1	-9.811925243E1
5.396793333E1	-9.717496199E1
5.412800000E1	-9.661273309E1
5.430420000E1	-9.555056926E1
5.446396667E1	-9.283865497E1
5.464003333E1	-8.963355837E1
5.479990000E1	-8.579137565E1
5.495996667E1	-7.994473311E1
5.513593333E1	-7.603416133E1
5.529590000E1	-7.202371440E1
5.547186667E1	-5.177109232E1
5.563183333E1	-4.885740010E1
5.579193333E1	-4.529174569E1
5.596786667E1	-4.204540094E1
5.612786667E1	-3.916118265E1
5.630390000E1	-3.588188479E1
5.646386667E1	-3.243539334E1
5.663983333E1	-2.756611703E1
5.679990000E1	-1.764538953E1
5.695996667E1	-1.034362408E1
5.713593333E1	-6.215287918E0
5.729603333E1	-2.033918314E0
5.747190000E1	2.048902778E0
5.763203333E1	6.201492846E0
5.779193333E1	9.951565358E0
5.796790000E1	1.295293302E1
5.812793333E1	1.490156684E1
5.830390000E1	1.646227418E1
5.846390000E1	1.621225287E1
5.862403333E1	1.516641615E1
5.879996667E1	1.375700103E1
5.896006667E1	1.072526747E1
5.913586667E1	7.919833224E0
5.929596667E1	3.776170503E0
5.945600000E1	-8.573263057E-1
5.963200000E1	-6.270342222E0
5.979213333E1	-1.186670445E1
5.996796667E1	-1.778267201E1
6.012800000E1	-2.480595371E1
6.030386667E1	-3.214784556E1
6.046380000E1	-3.938599739E1
6.062386667E1	-4.646167693E1
6.079983333E1	-5.368619087E1
6.095986667E1	-5.896400791E1
6.113580000E1	-8.392038879E1
6.129596667E1	-8.977738433E1
6.145600000E1	-9.454518645E1
6.163200000E1	-9.728820893E1
6.179206667E1	-9.811202395E1
6.196810000E1	-9.960579918E1
6.212800000E1	-9.928835281E1
6.228846667E1	-9.839060112E1
6.246396667E1	-9.747323926E1
6.262423333E1	-9.605408871E1
6.280000000E1	-9.460000180E1
6.296000000E1	-9.156194459E1
6.313586667E1	-8.692435510E1
6.329596667E1	-8.041873871E1
6.345596667E1	-7.624509762E1
6.363193333E1	-5.423094922E1
6.379200000E1	-5.158081250E1
6.396800000E1	-4.709935795E1
6.412803333E1	-4.404295327E1
6.428833333E1	-4.050426249E1
6.446386667E1	-3.699084103E1
6.462386667E1	-3.350717483E1
6.479986667E1	-2.861335091E1
