mass_A
t	x
1.016001333E2	4.517257876E-3
1.017759333E2	-6.692255824E-2
1.019360000E2	1.227337142E-1
1.020960000E2	-5.804285064E-2
1.022719667E2	-2.477472996E-1
1.024321333E2	-8.234737683E-1
1.026079667E2	-4.620366107E-1
1.027683333E2	-1.333941002E-1
1.029440000E2	8.664688303E-3
1.031039333E2	3.154971948E-2
1.032639333E2	-6.904936230E-2
1.034399333E2	-4.168609371E-1
1.036001667E2	-2.086279086E-1
1.037759667E2	-1.303990156E-1
1.039366000E2	-9.526424556E-1
1.040959667E2	-2.584100466E-1
1.042719667E2	-1.283186239E-1
1.044322000E2	1.276611542E-1
1.046079333E2	1.615414643E-1
1.047678333E2	2.349820337E-1
1.049279667E2	-9.196226369E-2
1.051039000E2	1.145538042E-1
1.052639000E2	5.883599464E-2
1.054399333E2	8.001982211E-2
1.056003667E2	1.237543893E-1
1.057757667E2	8.956685371E-3
1.059358000E2	-1.710840670E-1
1.060958333E2	-4.128710817E-1
1.062718333E2	-8.091720289E-1
1.064325000E2	-1.698456117E-1
1.066078000E2	3.015050527E-2
1.067679667E2	1.083177313E-1
1.069279667E2	-1.428633307E-1
1.071041000E2	1.092996010E-2
1.072638667E2	-1.654445267E-2
1.074398667E2	-8.065621827E-1
1.076000000E2	-5.951478029E-1
1.077599000E2	-1.864754120E0
1.079362000E2	-2.109729565E0
1.080959000E2	-1.285257259E0
1.082719667E2	-4.725506187E-2
1.084320333E2	1.065174082E-1
1.085919333E2	-1.306429259E-3
1.087683000E2	4.236198061E-2
1.089280667E2	8.419213530E-2
1.091043000E2	1.938046889E-2
1.092643333E2	9.533946605E-2
1.094400000E2	1.134219544E-1
1.096001667E2	2.914099222E-2
1.097598667E2	-7.219039244E-2
1.099363000E2	-6.689113043E-2
1.100959667E2	-2.811915643E-1
1.102720000E2	-6.510334675E-2
1.104324000E2	6.598934481E-2
1.105920000E2	9.857531872E-2
1.107684333E2	6.950031335E-2
1.109279667E2	1.312973105E-1
1.111038667E2	-5.005208306E-2
